naam;jaar;zone;aantal
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;D;13529.418284376061
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;E;41564.95597850866
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;F;52665.13754553773
bewoonde_niet_geïsoleerde_woning_vlaanderen;2029;Totaal;114176.54504175551
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;A;49.09758320168016
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;B;829.58593534076
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;C;5628.469006313899
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;D;13719.404005604167
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;E;42148.62743001071
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;F;53404.68109373543
bewoonde_niet_geïsoleerde_woning_vlaanderen;2030;Totaal;115779.86505420665
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;A;49.78125917318927
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;B;841.1406665190232
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;C;5706.855734820008
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;D;13910.4518661908
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;E;42735.56174753204
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;F;54148.358633337324
bewoonde_niet_geïsoleerde_woning_vlaanderen;2031;Totaal;117392.14990757238
gehinderde_personen_met_isolatie;2026;A;16.8
gehinderde_personen_met_isolatie;2026;B;509.4
gehinderde_personen_met_isolatie;2026;C;5039.195076708819
gehinderde_personen_met_isolatie;2026;D;14879.228210341953
gehinderde_personen_met_isolatie;2026;E;76150.79062785293
gehinderde_personen_met_isolatie;2026;F;142141.77616356534
gehinderde_personen_met_isolatie;2026;Totaal;238737.19007846905
gehinderde_personen_met_isolatie;2027;A;17.264889768
gehinderde_personen_met_isolatie;2027;B;523.497742924353
gehinderde_personen_met_isolatie;2027;C;5178.646879739061
gehinderde_personen_met_isolatie;2027;D;15290.971056576349
gehinderde_personen_met_isolatie;2027;E;78258.04984111553
gehinderde_personen_met_isolatie;2027;F;146075.13972969927
gehinderde_personen_met_isolatie;2027;Totaal;245343.57013982255
gehinderde_personen_met_isolatie;2028;A;17.729872951142017
gehinderde_personen_met_isolatie;2028;B;537.5998982761895
gehinderde_personen_met_isolatie;2028;C;5318.133668191376
gehinderde_personen_met_isolatie;2028;D;15702.801213075476
gehinderde_personen_met_isolatie;2028;E;80365.74590957208
gehinderde_personen_met_isolatie;2028;F;150009.308201255
gehinderde_personen_met_isolatie;2028;Totaal;251951.31876332127
gehinderde_personen_met_isolatie;2029;A;18.195020382992634
