id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
1025;119456,1052;0;0;0;0
1026;42210,62515;0;0;0;0
1027;48937,30931;0;0;0;0
1028;64250,19416;0;0;0;0
1029;87368,02814;21127,40811;24,18;0;0
1030;98751,92163;98751,92163;100;0;0
1031;7846,838852;7846,838852;100;0;0
1032;3433,385133;0;0;0;0
1033;44328,42198;0;0;0;0
1034;67075,46009;27938,27458;41,65;0;0
1035;170665,3436;170665,3436;100;0;0
1036;6556,803045;6556,803045;100;0;0
1037;18795,53484;0;0;0;0
1038;160840,1395;0;0;0;0
1039;97547,7081;0;0;0;0
1040;5147,461931;0;0;0;0
1041;8379,151584;0;0;0;0
1042;50830,79661;18746,32522;36,88;0;0
1043;138142,3497;138142,3497;100;0;0
1044;193328,1698;193328,1698;100;0;0
1045;41210,83674;0;0;0;0
1046;50125,29912;0;0;0;0
1047;39992,85845;0;0;0;0
1048;31481,39306;0;0;0;0
1049;66025,10828;0;0;0;0
1050;141427,1094;0;0;0;0
1051;4953,431425;0;0;0;0
1052;2977,236831;0;0;0;0
1053;31982,92143;0;0;0;0
1054;56636,63745;0;0;0;0
1055;102247,4317;0;0;0;0
1056;138224,0837;0;0;0;0
1057;220897,0068;116875,1712;52,91;0;0
1058;65691,45073;65691,45073;100;0;0
1059;41886,88624;0;0;0;0
1060;148315,6136;0;0;0;0
1061;990,8129656;0;0;0;0
1062;56380,74776;0;0;0;0
1063;71035,4039;0;0;0;0
1064;108,2251966;0;0;0;0
1065;600198,9361;0;0;0;0
1066;204803,2114;0;0;0;0
1067;26660,64047;0;0;0;0
1068;92560,80798;0;0;0;0
1069;156187,1577;0;0;0;0
1070;188422,2962;0;0;0;0
1071;1858,866487;0;0;0;0
1072;101768,6514;0;0;0;0
1073;117031,1036;0;0;0;0
1074;85691,56554;0;0;0;0
1075;11079,43177;0;0;0;0
1076;574792,3699;0;0;0;0
1077;867808,7409;0;0;0;0
1078;762380,447;0;0;0;0
1079;651922,0651;0;0;0;0
1080;363827,4783;0;0;0;0
1081;166833,8085;0;0;0;0
1082;12700,14609;0;0;0;0
1083;129130,3191;0;0;0;0
1084;214040,5486;0;0;0;0
1085;735815,8376;0;0;0;0
1086;298899,4535;0;0;0;0
1087;384737,8821;0;0;0;0
1088;476413,1845;0;0;0;0
1089;119239,1024;0;0;0;0
1090;252645,8968;0;0;0;0
1091;207854,3705;0;0;0;0
1092;178395,6653;0;0;0;0
1093;718004,1824;0;0;0;0
1094;340644,0643;0;0;0;0
1095;63362,51354;0;0;0;0
1096;341624,0699;0;0;0;0
1097;69658,749;0;0;0;0
1098;433914,1219;0;0;0;0
1099;229894,2619;0;0;0;0
1100;327161,1412;0;0;0;0
1101;136656,9305;0;0;0;0
1102;127333,2973;0;0;0;0
1103;12519,36871;0;0;0;0
1104;284278,6419;0;0;0;0
1105;307956,0003;0;0;0;0
1106;1181217,164;0;0;0;0
1107;559162,6021;0;0;0;0
1108;357141,0803;0;0;0;0
1109;11268,2918;0;0;0;0
1110;378063,9229;0;0;0;0
1111;918930,7786;0;0;0;0
1112;736914,4227;0;0;0;0
1113;441214,3107;0;0;0;0
1114;67437,56158;0;0;0;0
1115;756954,964;0;0;0;0
1116;42853,68273;0;0;0;0
1117;206256,6499;0;0;0;0
1118;5577,552983;0;0;0;0
1119;361609,143;0;0;0;0
1120;703725,9989;0;0;0;0
1121;46498,76052;0;0;0;0
1122;601620,0064;0;0;0;0
1123;29472,9619;0;0;0;0
1124;214054,6768;0;0;0;0
1125;231731,3992;0;0;0;0
1126;4262,473343;0;0;0;0
1127;570866,6293;0;0;0;0
1128;23124,23031;0;0;0;0
1129;293088,4822;0;0;0;0
1130;141319,8017;0;0;0;0
1131;557941,0257;0;0;0;0
1132;329626,5512;0;0;0;0
1133;108144,0727;0;0;0;0
1134;156409,3962;0;0;0;0
1135;246786,0072;0;0;0;0
1136;9750,189143;0;0;0;0
1137;688134,6746;0;0;0;0
1138;766758,9836;0;0;0;0
1139;355722,536;0;0;0;0
1140;48748,29215;0;0;0;0
1141;22,36797641;0;0;0;0
1142;82466,72508;0;0;0;0
1143;50378,74432;0;0;0;0
1144;263030,214;0;0;0;0
1145;145272,0551;0;0;0;0
1146;359815,6724;0;0;0;0
